Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
PHI,2,2006,-3.0,42.0,-6,-9.0,-1,1,0,0,NYG,100.0,76.0,69.0,93.0,55.0,74.0,88.0,70.0,100.0,60.0,56.0,89.0,46.0,81.0,100.0,52.0,0,0,0,0.0,41.0,100.0,11.0,100.0,71.0,92.0,87.0,58.0,76.0,51.0,14.0,54.0,100.0,45.0,84.0,69.0,0.0,76.0,60.0,11.0,100.0,71.0,87.0,76.0,14.0
PIT,2,2006,-2.5,36.5,-9,-11.5,-1,0,0,0,JAX,100.0,70.0,92.0,58.0,51.0,9.0,63.0,51.0,66.0,40.0,33.0,67.0,53.0,95.0,57.0,26.0,1,0,0,100.0,63.0,89.0,22.0,9.0,23.0,57.0,73.0,55.0,70.0,82.0,28.0,85.0,44.0,31.0,9.0,49.0,48.0,46.0,30.0,22.0,89.0,23.0,73.0,70.0,28.0
SDG,2,2006,-12.0,38.5,33,21.0,1,1,0,0,TEN,100.0,100.0,92.0,57.0,100.0,27.0,58.0,87.0,93.0,40.0,100.0,100.0,74.0,73.0,25.0,100.0,0,0,0,0.0,37.0,78.0,22.0,31.0,27.0,85.0,71.0,10.0,74.0,10.0,3.0,15.0,48.0,30.0,63.0,49.0,64.0,34.0,60.0,22.0,78.0,27.0,71.0,74.0,3.0
SEA,2,2006,-7.0,48.0,11,4.0,1,1,0,0,ARI,100.0,56.0,69.0,38.0,60.0,45.0,15.0,55.0,53.0,50.0,33.0,44.0,29.0,95.0,49.0,36.0,0,0,0,100.0,63.0,67.0,11.0,19.0,26.0,15.0,64.0,82.0,90.0,42.0,9.0,92.0,61.0,8.0,68.0,69.0,97.0,44.0,40.0,11.0,67.0,26.0,64.0,90.0,9.0
SFO,2,2006,3.0,44.5,7,10.0,1,1,0,0,STL,0.0,37.0,8.0,92.0,39.0,32.0,3.0,31.0,56.0,60.0,33.0,89.0,36.0,74.0,91.0,10.0,0,0,0,100.0,65.0,67.0,44.0,53.0,44.0,4.0,40.0,43.0,57.0,100.0,79.0,69.0,52.0,53.0,100.0,18.0,45.0,65.0,0.0,44.0,67.0,44.0,40.0,57.0,79.0
STL,2,2006,-3.0,44.5,-7,-10.0,-1,0,0,0,SFO,100.0,65.0,69.0,52.0,53.0,100.0,18.0,45.0,65.0,0.0,44.0,67.0,44.0,40.0,57.0,79.0,1,0,0,0.0,37.0,89.0,33.0,85.0,36.0,81.0,74.0,58.0,91.0,18.0,10.0,8.0,92.0,39.0,32.0,3.0,31.0,56.0,60.0,33.0,89.0,36.0,74.0,91.0,10.0
TAM,2,2006,4.5,36.0,-11,-6.5,-1,0,0,0,ATL,0.0,0.0,8.0,4.0,61.0,47.0,27.0,55.0,18.0,80.0,11.0,67.0,0.0,66.0,28.0,53.0,1,0,0,100.0,76.0,89.0,44.0,72.0,100.0,56.0,83.0,66.0,34.0,72.0,60.0,100.0,65.0,78.0,30.0,36.0,87.0,92.0,30.0,44.0,89.0,100.0,83.0,34.0,60.0
TEN,2,2006,12.0,38.5,-33,-21.0,-1,0,0,0,SDG,0.0,37.0,15.0,48.0,30.0,63.0,49.0,64.0,34.0,60.0,22.0,78.0,27.0,71.0,74.0,3.0,1,0,0,100.0,100.0,100.0,100.0,44.0,74.0,49.0,73.0,100.0,25.0,70.0,100.0,92.0,57.0,100.0,27.0,58.0,87.0,93.0,40.0,100.0,100.0,74.0,73.0,25.0,100.0
WAS,2,2006,7.0,37.0,-17,-10.0,-1,0,0,0,DAL,0.0,44.0,38.0,54.0,52.0,46.0,36.0,27.0,39.0,50.0,11.0,100.0,34.0,73.0,45.0,33.0,1,0,0,0.0,37.0,78.0,11.0,43.0,27.0,91.0,77.0,18.0,72.0,45.0,30.0,15.0,69.0,56.0,91.0,52.0,51.0,54.0,70.0,11.0,78.0,27.0,77.0,72.0,30.0
ARI,3,2006,-5.5,45.0,-2,-7.5,-1,1,0,0,STL,50.0,39.0,67.0,27.0,23.0,61.0,52.0,62.0,46.0,58.0,18.0,22.0,17.0,45.0,59.0,48.0,0,0,0,50.0,44.0,11.0,18.0,54.0,36.0,19.0,35.0,45.0,30.0,66.0,80.0,83.0,15.0,29.0,93.0,23.0,53.0,58.0,25.0,18.0,11.0,36.0,35.0,30.0,80.0
ATL,3,2006,-4.0,45.0,-20,-24.0,-1,0,0,0,NOR,100.0,70.0,96.0,68.0,60.0,34.0,30.0,58.0,93.0,42.0,27.0,67.0,100.0,88.0,0.0,52.0,1,0,0,100.0,56.0,67.0,45.0,25.0,28.0,55.0,76.0,53.0,65.0,49.0,60.0,54.0,42.0,61.0,50.0,50.0,37.0,83.0,67.0,45.0,67.0,28.0,76.0,65.0,60.0
BAL,3,2006,-6.5,33.0,1,-5.5,-1,0,0,0,CLE,100.0,96.0,83.0,6.0,100.0,68.0,29.0,81.0,98.0,0.0,64.0,78.0,36.0,100.0,19.0,100.0,1,0,0,0.0,19.0,56.0,18.0,29.0,15.0,35.0,27.0,22.0,30.0,47.0,45.0,25.0,21.0,32.0,39.0,24.0,28.0,14.0,83.0,18.0,56.0,15.0,27.0,30.0,45.0
BUF,3,2006,-6.0,33.0,-8,-14.0,-1,1,0,0,NYJ,50.0,52.0,46.0,0.0,50.0,55.0,19.0,49.0,34.0,42.0,73.0,56.0,28.0,39.0,0.0,81.0,0,0,0,50.0,43.0,44.0,9.0,5.0,16.0,52.0,51.0,78.0,84.0,71.0,54.0,67.0,56.0,45.0,38.0,56.0,34.0,70.0,50.0,9.0,44.0,16.0,51.0,84.0,54.0
CAR,3,2006,-3.0,33.5,2,-1.0,-1,0,0,0,TAM,0.0,25.0,25.0,0.0,36.0,55.0,0.0,80.0,23.0,83.0,36.0,44.0,22.0,5.0,24.0,74.0,1,0,0,0.0,2.0,67.0,18.0,0.0,0.0,13.0,0.0,4.0,48.0,37.0,99.0,12.0,4.0,39.0,59.0,37.0,53.0,39.0,100.0,18.0,67.0,0.0,0.0,48.0,99.0
CHI,3,2006,-3.5,35.0,3,-0.5,-1,0,0,0,MIN,100.0,100.0,83.0,73.0,49.0,39.0,37.0,100.0,98.0,33.0,64.0,100.0,27.0,76.0,75.0,73.0,1,0,0,100.0,49.0,44.0,0.0,28.0,33.0,42.0,58.0,56.0,53.0,51.0,81.0,92.0,38.0,53.0,67.0,29.0,73.0,83.0,67.0,0.0,44.0,33.0,58.0,53.0,81.0
CIN,3,2006,2.0,42.0,8,10.0,1,0,0,0,PIT,100.0,75.0,63.0,58.0,47.0,64.0,45.0,69.0,82.0,42.0,45.0,56.0,43.0,69.0,51.0,61.0,1,0,0,50.0,45.0,56.0,18.0,27.0,22.0,66.0,76.0,46.0,25.0,61.0,45.0,46.0,13.0,45.0,0.0,32.0,56.0,41.0,67.0,18.0,56.0,22.0,76.0,25.0,45.0
CLE,3,2006,6.5,33.0,-1,5.5,1,1,0,0,BAL,0.0,19.0,25.0,21.0,32.0,39.0,24.0,28.0,14.0,83.0,18.0,56.0,15.0,27.0,30.0,45.0,0,0,0,100.0,96.0,78.0,64.0,37.0,36.0,100.0,100.0,43.0,19.0,100.0,100.0,83.0,6.0,100.0,68.0,29.0,81.0,98.0,0.0,64.0,78.0,36.0,100.0,19.0,100.0
DEN,3,2006,6.5,38.5,10,16.5,1,0,0,0,NWE,50.0,38.0,58.0,29.0,48.0,11.0,22.0,68.0,60.0,100.0,18.0,67.0,49.0,40.0,14.0,81.0,1,0,0,100.0,53.0,67.0,45.0,48.0,54.0,64.0,75.0,46.0,31.0,34.0,59.0,67.0,37.0,44.0,39.0,55.0,34.0,78.0,92.0,45.0,67.0,54.0,75.0,31.0,59.0
DET,3,2006,-6.5,41.0,-7,-13.5,-1,1,0,0,GNB,0.0,11.0,29.0,24.0,38.0,62.0,13.0,57.0,40.0,83.0,27.0,11.0,4.0,67.0,45.0,51.0,0,0,0,0.0,8.0,56.0,27.0,41.0,20.0,75.0,73.0,39.0,61.0,28.0,25.0,42.0,34.0,28.0,71.0,29.0,58.0,49.0,75.0,27.0,56.0,20.0,73.0,61.0,25.0
GNB,3,2006,6.5,41.0,7,13.5,1,0,0,0,DET,0.0,8.0,42.0,34.0,28.0,71.0,29.0,58.0,49.0,75.0,27.0,56.0,20.0,73.0,61.0,25.0,1,0,0,0.0,11.0,11.0,27.0,11.0,4.0,67.0,67.0,54.0,45.0,0.0,51.0,29.0,24.0,38.0,62.0,13.0,57.0,40.0,83.0,27.0,11.0,4.0,67.0,45.0,51.0
HOU,3,2006,3.5,37.5,-16,-12.5,-1,1,0,0,WAS,0.0,8.0,21.0,44.0,0.0,38.0,30.0,0.0,0.0,67.0,9.0,11.0,23.0,45.0,34.0,0.0,0,0,0,0.0,22.0,44.0,0.0,54.0,26.0,56.0,54.0,36.0,24.0,36.0,54.0,38.0,23.0,44.0,64.0,6.0,39.0,38.0,67.0,0.0,44.0,26.0,54.0,24.0,54.0
IND,3,2006,-6.5,41.5,7,0.5,1,1,0,0,JAX,100.0,69.0,71.0,77.0,10.0,34.0,100.0,36.0,79.0,50.0,18.0,78.0,23.0,33.0,100.0,57.0,0,0,0,100.0,60.0,89.0,18.0,19.0,25.0,63.0,86.0,48.0,60.0,80.0,73.0,100.0,33.0,56.0,58.0,31.0,62.0,92.0,42.0,18.0,89.0,25.0,86.0,60.0,73.0
JAX,3,2006,6.5,41.5,-7,-0.5,-1,0,0,0,IND,100.0,60.0,100.0,33.0,56.0,58.0,31.0,62.0,92.0,42.0,18.0,89.0,25.0,86.0,60.0,73.0,1,0,0,100.0,69.0,78.0,18.0,21.0,23.0,0.0,33.0,74.0,100.0,12.0,57.0,71.0,77.0,10.0,34.0,100.0,36.0,79.0,50.0,18.0,78.0,23.0,33.0,100.0,57.0
MIA,3,2006,-10.5,36.0,3,-7.5,-1,1,0,0,TEN,0.0,20.0,25.0,30.0,61.0,100.0,39.0,49.0,70.0,83.0,27.0,0.0,13.0,46.0,49.0,95.0,0,0,0,0.0,0.0,89.0,0.0,24.0,15.0,26.0,22.0,0.0,44.0,16.0,35.0,0.0,11.0,17.0,63.0,17.0,58.0,14.0,92.0,0.0,89.0,15.0,22.0,44.0,35.0
MIN,3,2006,3.5,35.0,-3,0.5,1,1,0,0,CHI,100.0,49.0,92.0,38.0,53.0,67.0,29.0,73.0,83.0,67.0,0.0,44.0,33.0,58.0,53.0,81.0,0,0,0,100.0,100.0,100.0,64.0,14.0,27.0,42.0,76.0,100.0,75.0,52.0,73.0,83.0,73.0,49.0,39.0,37.0,100.0,98.0,33.0,64.0,100.0,27.0,76.0,75.0,73.0
NOR,3,2006,4.0,45.0,20,24.0,1,1,0,0,ATL,100.0,56.0,54.0,42.0,61.0,50.0,50.0,37.0,83.0,67.0,45.0,67.0,28.0,76.0,65.0,60.0,0,0,0,100.0,70.0,67.0,27.0,100.0,100.0,61.0,88.0,56.0,0.0,72.0,52.0,96.0,68.0,60.0,34.0,30.0,58.0,93.0,42.0,27.0,67.0,100.0,88.0,0.0,52.0
NWE,3,2006,-6.5,38.5,-10,-16.5,-1,1,0,0,DEN,100.0,53.0,67.0,37.0,44.0,39.0,55.0,34.0,78.0,92.0,45.0,67.0,54.0,75.0,31.0,59.0,0,0,0,50.0,38.0,67.0,18.0,71.0,49.0,34.0,40.0,3.0,14.0,45.0,81.0,58.0,29.0,48.0,11.0,22.0,68.0,60.0,100.0,18.0,67.0,49.0,40.0,14.0,81.0
NYG,3,2006,4.0,43.0,-12,-8.0,-1,0,0,0,SEA,50.0,44.0,88.0,77.0,32.0,79.0,47.0,19.0,72.0,75.0,0.0,22.0,42.0,72.0,79.0,18.0,1,0,0,100.0,58.0,22.0,55.0,40.0,35.0,73.0,89.0,47.0,35.0,47.0,64.0,71.0,29.0,64.0,54.0,27.0,49.0,78.0,67.0,55.0,22.0,35.0,89.0,35.0,64.0
NYJ,3,2006,6.0,33.0,8,14.0,1,0,0,0,BUF,50.0,43.0,67.0,56.0,45.0,38.0,56.0,34.0,70.0,50.0,9.0,44.0,16.0,51.0,84.0,54.0,1,0,0,50.0,52.0,56.0,73.0,35.0,28.0,31.0,39.0,57.0,0.0,36.0,81.0,46.0,0.0,50.0,55.0,19.0,49.0,34.0,42.0,73.0,56.0,28.0,39.0,0.0,81.0
PHI,3,2006,-6.0,42.5,14,8.0,1,0,0,0,SFO,50.0,52.0,75.0,88.0,45.0,64.0,63.0,58.0,100.0,75.0,100.0,89.0,35.0,74.0,98.0,46.0,1,0,0,50.0,43.0,100.0,64.0,60.0,34.0,54.0,60.0,63.0,69.0,26.0,59.0,12.0,100.0,54.0,33.0,9.0,39.0,81.0,75.0,64.0,100.0,34.0,60.0,69.0,59.0
PIT,3,2006,-2.0,42.0,-8,-10.0,-1,1,0,0,CIN,50.0,45.0,46.0,13.0,45.0,0.0,32.0,56.0,41.0,67.0,18.0,56.0,22.0,76.0,25.0,45.0,0,0,0,100.0,75.0,56.0,45.0,49.0,43.0,48.0,69.0,54.0,51.0,53.0,61.0,63.0,58.0,47.0,64.0,45.0,69.0,82.0,42.0,45.0,56.0,43.0,69.0,51.0,61.0
SEA,3,2006,-4.0,43.0,12,8.0,1,1,0,0,NYG,100.0,58.0,71.0,29.0,64.0,54.0,27.0,49.0,78.0,67.0,55.0,22.0,35.0,89.0,35.0,64.0,0,0,0,50.0,44.0,22.0,0.0,72.0,42.0,66.0,72.0,72.0,79.0,35.0,18.0,88.0,77.0,32.0,79.0,47.0,19.0,72.0,75.0,0.0,22.0,42.0,72.0,79.0,18.0
SFO,3,2006,6.0,42.5,-14,-8.0,-1,1,0,0,PHI,50.0,43.0,12.0,100.0,54.0,33.0,9.0,39.0,81.0,75.0,64.0,100.0,34.0,60.0,69.0,59.0,0,0,0,50.0,52.0,89.0,100.0,43.0,35.0,58.0,74.0,76.0,98.0,17.0,46.0,75.0,88.0,45.0,64.0,63.0,58.0,100.0,75.0,100.0,89.0,35.0,74.0,98.0,46.0
