Team,Opponent,Year,Week,Home Team,Spread,Team DVOA,DVOA Diff,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Game Scoring Margin,Spread to Result Difference,Spread Result Class
BUF,MIA,2019,7,1,-17.0,-3.2,80.89999999999998,16.6,-0.3999999999999986,47.0,10.0,1.7695218319886092,-0.35540445272145577,57.0,5.0,-0.4075454545454513,-0.4778670410107082,56.0,13.0,0.8640455840455852,-0.49576095457947894,87.0,1.0,0.0,-0.8744888287120595,42.0,11.0,6.759654899298486,0.35669821465001017,73.0,11.0,7.807997946611913,0.28477162003874174,-1,1,10,-7.0,-1
CHI,NOR,2019,7,1,-4.0,8.2,-3.0,1.57,-2.43,77.0,83.0,0.0,0.5056418973356496,63.0,65.0,0.0,-0.8909278201343138,16.0,73.0,0.0,0.4181151076169256,91.0,32.0,5.802236566643405,0.1354358042263047,16.0,35.0,5.1241312741312735,-0.16642492643242726,41.0,46.0,0.0,0.6415488549303101,-1,1,-11,-15.0,-1
CIN,JAX,2019,7,1,4.0,-35.7,-36.2,-5.32,-1.3200000000000005,10.0,70.0,-3.1678402607987017,0.7840661436953476,35.0,70.0,0.0,0.9178519669675351,0.0,48.0,0.0,-0.5708450707526117,0.0,48.0,-5.148406679279423,-0.584948385674215,52.0,32.0,-1.8216306834848943,0.44054482184002397,32.0,44.0,0.0,-0.48747586271310805,-1,1,-10,-6.0,-1
DAL,PHI,2019,7,1,-3.0,18.0,4.800000000000002,3.14,0.14000000000000012,45.0,87.0,-4.166190417463156,0.22000059929973287,100.0,45.0,-3.1359513742071856,0.4420378341822157,55.0,100.0,0.0,0.7187368699481989,81.0,37.0,0.0,0.45785087635462585,81.0,4.0,0.0,0.4869865568122454,35.0,45.0,-4.24577107180021,0.26960859314762375,1,1,27,24.0,1
DEN,KAN,2019,7,1,3.0,-1.0,-24.3,-2.82,0.18000000000000016,35.0,96.0,-3.7309294152103867,0.6308279233610286,65.0,30.0,0.0,0.5947738244048381,40.0,20.0,0.0,-0.14312668217106705,65.0,18.0,0.0,0.3863477513562892,35.0,30.0,0.0,-0.8835326753246383,66.0,100.0,0.0,-0.01968473733759507,1,-1,-24,-21.0,-1
DET,MIN,2019,7,1,2.5,5.8,-16.099999999999998,-1.12,1.38,35.0,78.0,0.0,0.18100457378704832,78.0,60.0,0.0,-0.6602163575102699,34.0,83.0,4.416046980386075,-0.8577670350954901,45.0,69.0,0.0,-0.9743958418157248,58.0,49.0,-0.6360408042578358,0.7177365188099321,4.0,31.0,7.314781553398058,0.9155567819640172,1,-1,-12,-9.5,-1
GNB,OAK,2019,7,1,-5.5,17.8,16.5,5.48,-0.01999999999999957,65.0,89.0,0.0,-0.19414435747155717,83.0,29.0,0.0,-0.13460936660172354,33.0,83.0,1.0148504174397015,0.12881072299850901,54.0,52.0,0.0,-0.5764428366307308,51.0,16.0,-1.9440275387263326,-0.6989376391993956,34.0,32.0,-1.357823960880192,-0.36876266733128854,-1,-1,18,12.5,1
HOU,IND,2019,7,0,1.5,6.8,15.5,0.99,2.49,55.0,99.0,0.0,-0.6552623126351587,52.0,53.0,1.3959170156812952,0.9543469476747322,56.0,64.0,0.0,-0.08798156909784666,86.0,58.0,-6.985269080234843,0.9663383404985184,55.0,32.0,7.10919006479482,0.7220671022517535,13.0,25.0,-12.44164912857614,-0.9318205604251527,1,-1,-7,-5.5,-1
IND,HOU,2019,7,1,-1.5,-8.7,-15.5,-0.99,-2.49,53.0,52.0,1.777288817377315,-0.13595646969263953,99.0,55.0,3.1780984919886883,-0.1251247096317693,58.0,86.0,-6.3825774787691785,0.9478661943421508,64.0,56.0,0.0,0.6064038732435526,25.0,13.0,0.0,-0.3819042034107959,32.0,55.0,1.5760242285258395,-0.6105497160972189,-1,-1,7,5.5,1
JAX,CIN,2019,7,0,-4.0,0.5,36.2,5.32,1.3200000000000005,70.0,35.0,3.1741873653170014,0.7854132243233037,70.0,10.0,0.0,0.503631670216244,48.0,0.0,0.0,-0.37756124540822456,48.0,0.0,0.0,0.20798632883510115,44.0,32.0,0.0,0.06664566371721059,32.0,52.0,0.0,0.622409808750638,1,1,10,6.0,1
