Week,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,Spread Result Class,Game Pick,EGO Pick Correct
6,-3.71,-0.21,80,20,0.0,0.7526636659999999,73,60,-1.325760223,0.820020324,34,39,-4.375237752,-0.524707522,22,92,0.0,0.5996443260000001,52,41,0.0,0.769944037,100,62,0.0,-0.385873673,1,-1,-1
10,4.9,0.4,34,40,0.0,-0.0064644740000000004,48,73,0.0,-0.326372885,61,79,5.097311479,-0.287799523,62,84,0.0,-0.057977007000000004,85,64,0.0,-0.403855965,40,0,0.0,-0.319884379,-1,1,-1
7,3.41,0.41,30,65,0.0,-0.168115514,96,35,0.0,0.9069502420000001,18,65,0.0,-0.068916474,20,40,0.0,0.081430533,100,66,0.0,0.46988310299999997,30,35,0.0,0.006561216999999999,1,1,1
6,7.2,0.2,80,76,5.339362866,-0.976715427,30,47,0.0,-0.61640585,52,74,0.0,0.872959809,61,16,0.8561983120000001,-0.66421498,35,56,0.0,-0.939360942,93,68,0.0,-0.9997759740000001,1,1,1
9,-6.35,1.15,83,79,0.0,0.35004798200000004,38,100,0.0,0.050891785,7,80,2.21679133,-0.530849339,68,59,-16.12437863,0.5711600179999999,15,99,0.0,-0.005972458000000001,26,52,-6.255378716,-0.162063374,-1,1,-1
6,7.7,0.2,61,32,0.0,0.6459070339999999,54,24,0.0,0.751853797,0,61,0.0,0.17346320899999998,38,44,0.0,0.41557267299999995,33,13,-6.341428571000001,-0.308036354,81,40,-2.5620946559999997,0.483639511,1,1,1
14,6.0,-0.5,71,62,0.5991673120000001,0.546474395,46,36,7.523387907,0.288149563,52,62,0.0,-0.011155611999999999,48,55,4.494630282,-0.448699471,38,78,1.5485642419999999,0.40401134899999996,58,28,5.662339164,0.488459572,1,-1,-1
14,-7.83,-0.83,34,80,0.0,-0.09734788,83,100,0.0,-0.095251966,48,67,6.464715186,-0.462843149,57,61,-4.838491643,0.47956847,18,44,3.49684611,0.12713023,29,44,3.628148782,-0.260291548,-1,-1,1
14,-7.05,2.45,100,100,-12.63789521,0.486617531,60,60,0.0,-0.295909174,27,91,10.50786335,-0.37708779600000003,60,39,-1.421334927,-0.5092590229999999,36,63,0.0,-0.04021633,78,87,0.0,0.49870981600000003,1,1,1
15,10.36,-1.64,94,38,3.984935101,0.312767267,96,24,-1.145807848,-0.269182018,22,26,0.0,-0.107148705,79,8,0.0,-0.021720074,43,35,1.064895712,-0.39629862200000004,61,30,0.165630625,-0.25644618,-1,-1,1
8,0.88,-3.12,61,49,-0.34496658799999996,-0.183421683,13,32,-8.043634053,-0.424027295,31,35,0.0,0.006471339,57,41,0.0,-0.378320582,36,38,0.0,-0.161276281,32,21,5.50765398,0.29670747199999997,-1,-1,1
6,-0.68,5.32,53,100,0.0,-0.230734876,13,58,-0.101193265,0.9182256870000001,32,47,3.5247716889999996,0.557282504,78,37,0.0,0.459082626,27,31,0.0,0.554523138,37,73,0.0,0.09138765300000001,-1,1,-1
16,5.69,8.69,58,39,0.014284251000000001,-0.190321059,31,32,4.5917751419999995,0.351772421,15,53,0.0,-0.00306553,100,46,0.0,0.48500649,100,18,0.0,0.076848328,10,55,1.11398323,-0.5197773689999999,0,1,1
12,2.36,-0.64,30,31,-0.067711357,0.16236920400000002,41,0,0.0,0.33425425,23,6,3.8084316769999997,0.368597946,60,35,0.0,0.180695986,38,31,1.8062715109999998,0.520911575,66,24,1.028314088,0.389627085,1,-1,-1
14,4.04,-0.96,78,6,0.0,0.002016468,59,44,2.620463375,-0.344776099,66,65,3.6828775510000002,-0.126900722,90,26,3.386974509,0.13111661300000002,42,26,-8.341899931,-0.54797201,16,37,2.6277217569999998,0.19789901199999999,-1,-1,1
12,5.75,-1.75,36,76,0.0,0.077942672,92,77,6.217567676,-0.55019626,42,33,-2.949144371,-0.25359682699999997,54,6,12.80148883,0.42305361700000005,47,75,0.148013156,-0.37988107200000004,10,66,1.228158888,-0.17938867600000002,1,-1,-1
13,10.04,-1.46,60,88,0.866203342,-0.15170035699999998,79,40,0.0,0.04821542,21,70,0.0,-0.133738776,26,40,0.0,-0.042380224,99,19,0.0,-0.368505065,40,49,-1.587766539,0.126843708,1,-1,-1
6,0.61,2.61,32,62,0.0,-0.094885049,45,79,0.0,0.13811807,39,37,0.0,-0.330677418,94,62,0.0,0.129123223,56,78,14.5921179,-0.568092105,0,47,0.0,-0.665587348,-1,1,-1
13,0.02,1.52,6,77,-7.649006319,0.432396722,65,38,0.0,0.08676328800000001,20,82,0.0,0.009759909,26,5,11.027823099999999,0.611618865,64,35,0.0,0.032691094,0,46,0.0,-0.039452525,1,1,1
16,6.26,1.76,30,52,8.128189305,0.210470054,84,70,0.0,0.305785767,65,36,8.897912565,0.31919679,88,55,7.3304368470000005,0.135843713,95,68,10.78100298,-0.293008029,60,38,0.0,0.051192265,1,1,1
7,4.78,1.78,50,55,2.8142592889999998,0.178999653,17,25,0.0,0.543784246,68,41,0.0,0.08322406,25,25,0.0,-0.008592157,63,54,4.27637669,0.528261496,45,19,0.0,-0.02931947,-1,1,-1
