Week,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Spread Result Class,EGO Pick Correct
7,1.71,-1.29,27.0,0.0,0.0,-0.9186411720464304,47.0,0.0,0.0,-0.09063429292244696,1.0,18.0,0.0,-0.033361193316314486,58.0,27.0,5.008099983110959,0.7952980686779403,60.0,100.0,11.699509366636924,-0.5869789885997678,40.0,2.0,-10.728672156459092,-0.8952662651729688,-1,1,-1,1
7,4.39,7.39,40.0,53.0,5.1241569965870255,0.7463241794269044,32.0,60.0,0.0,0.8459635258733174,100.0,89.0,0.0,0.01919703516266837,60.0,35.0,-10.177789362078107,0.8739900984242708,0.0,47.0,0.0,0.5356958788833626,58.0,43.0,0.0,0.6450795583952385,1,1,1,1
7,-2.34,3.16,54.0,100.0,-9.81053462830172,0.3826045692400754,43.0,40.0,-4.507817988291646,0.20190985303489306,21.0,81.0,-2.7139439524444993,-0.3072590181521353,50.0,43.0,0.0,0.3802618437216296,26.0,38.0,0.0,0.07542181562203293,50.0,47.0,0.0,0.13417840543996962,1,-1,-1,-1
7,-3.1,-0.10000000000000007,32.0,37.0,0.9353876369650602,-0.18412157437031126,74.0,40.0,2.119581320450885,-0.9274600631806114,21.0,26.0,0.3649474922288498,-0.5203596836567811,52.0,18.0,0.0,-0.3440243505353139,53.0,57.0,0.0,-0.9425049898876118,52.0,55.0,0.0,0.5149236608775034,-1,0,0,1
7,3.1,0.10000000000000007,40.0,74.0,-6.9421858190709,0.9660438817784566,37.0,32.0,0.0,-0.2165674669076492,18.0,52.0,-3.1265134837644477,0.31049386023690057,26.0,21.0,0.0,0.5906486954901269,55.0,52.0,0.0,-0.5467214376847268,57.0,53.0,0.0,0.93319134205054,1,0,0,1
7,-3.38,1.12,33.0,89.0,4.265265942317542,-0.5501662117588667,42.0,27.0,-1.5542073170731716,-0.5356631377278549,5.0,65.0,3.2660024833832484,-0.8586711738933938,24.0,45.0,0.0,-0.352491281316313,41.0,59.0,0.0,-0.6054204934537545,59.0,17.0,1.628539264140583,0.3230401505483987,1,-1,-1,-1
7,1.53,-1.47,40.0,68.0,9.10149763305121,-0.3799147684394464,63.0,40.0,9.158944099378877,0.976206524743894,51.0,53.0,5.315000000000001,0.7372244222305704,100.0,51.0,0.0,0.2655800673233586,49.0,48.0,11.376500888099468,-0.17741206826430622,45.0,77.0,2.655778661365133,0.9965562135795368,-1,1,-1,1
7,3.38,-1.12,27.0,42.0,3.833561127712097,-0.9450268279836864,89.0,33.0,7.013600782778868,-0.9342967442304384,45.0,24.0,-0.5205009325872609,-0.9852594687584058,65.0,5.0,0.0,-0.2884427186597952,17.0,59.0,10.13989675516224,0.4710714844432114,59.0,41.0,0.0,-0.7355073991179722,-1,-1,1,-1
7,-1.02,2.48,21.0,47.0,3.984552748063441,0.8688094033613676,30.0,10.0,5.0481212437940925,0.6790646899032462,3.0,22.0,0.0,0.6172348408149366,73.0,18.0,0.0,-0.12860755024553291,74.0,36.0,0.0,-0.0307987745423542,20.0,46.0,0.10544135726579107,0.7217330677952891,1,-1,-1,-1
7,-1.71,3.79,53.0,30.0,5.359406745225524,0.6055763722477673,89.0,43.0,1.2928324218431122,0.9161760839099928,13.0,74.0,0.0,-0.400368635504248,65.0,15.0,0.0,0.8182552337939418,78.0,73.0,-1.6865358136809745,0.2622777701033989,0.0,55.0,0.0,0.5985151157761517,1,1,1,1
