Week,Spread,DVOA EGO,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Spread Result Class,EGO To Result Diff
7,-3.0,3.56,40.0,74.0,-7.424371638141801,0.9586574184821308,37.0,32.0,0.0,-0.2183597594573412,18.0,52.0,-3.4709218492019813,0.30401234196791777,26.0,21.0,0.0,0.5836305333640902,55.0,52.0,0.0,-0.550905643258157,57.0,53.0,0.0,0.9227955273998864,1,0,0,-0.56
7,4.5,-3.84,33.0,89.0,0.4670419250241769,-0.2518214283870069,42.0,27.0,-1.2397560975609758,-0.14568155882118533,5.0,65.0,0.7272076546636503,-0.5936170976391548,24.0,45.0,0.0,-0.6846680159300965,41.0,59.0,0.0,-0.7246439716767016,59.0,17.0,1.5036683141131248,0.6027309707287137,1,-1,-1,-6.16
7,-3.0,1.41,40.0,68.0,10.83996413713958,-0.4361552780468924,63.0,40.0,11.114491812535286,0.9529676259120582,51.0,53.0,5.7366666666666655,0.8111662660672131,100.0,51.0,0.0,0.2694783577605376,49.0,48.0,14.574999999999996,-0.2582982842356735,45.0,77.0,3.066642052447208,0.9929120033063952,-1,1,-1,-15.41
7,-4.5,3.84,27.0,42.0,2.7127971937118383,-0.9249335453880748,89.0,33.0,5.006692759295503,-0.7945175772243679,45.0,24.0,-0.28895816679989217,-0.9507854742045604,65.0,5.0,0.0,-0.5632595839029669,17.0,59.0,7.966624525916562,0.6550108127865613,59.0,41.0,0.0,-0.7067915761095875,-1,-1,1,6.16
7,3.5,0.29,21.0,47.0,0.6303061600885247,0.8844395181154847,30.0,10.0,0.8478521034753059,0.6202170822984681,3.0,22.0,0.0,0.6530341125456954,73.0,18.0,0.0,0.1605603312956863,74.0,36.0,-5.912067610875633,0.2127271719789019,20.0,46.0,-3.13773297270716,0.7510476164915834,1,-1,-1,-7.29
7,5.5,-3.25,53.0,30.0,5.020581064607888,0.7631915041768544,89.0,43.0,-1.9026805975022487,0.7766241309927534,13.0,74.0,0.0,-0.6417174559965849,65.0,15.0,0.0,0.9470693158842473,78.0,73.0,-8.182411015087155,0.5013696331247117,0.0,55.0,0.0,0.3537828703040356,1,1,1,13.25
7,8.0,-8.68,27.0,84.0,-10.867930578512391,0.5683624523486447,47.0,40.0,0.0,-0.16865508435211296,0.0,75.0,-8.645587525524409,0.23789361090691954,21.0,31.0,0.0,0.9801333285457494,45.0,61.0,0.0,-0.6322447836822611,2.0,48.0,0.0,-0.27058080060369283,-1,-1,1,28.68
7,-8.5,4.36,13.0,87.0,-3.9472340919647038,0.4972677999463949,89.0,16.0,0.0,-0.7111617147663771,27.0,56.0,3.838602150537636,-0.6624559407794308,0.0,38.0,0.0,0.3423371378143341,75.0,38.0,-0.8040181335692189,0.510330374899965,83.0,46.0,0.0,-0.8163179221409255,-1,-1,1,9.64
7,-8.0,8.68,40.0,47.0,0.0,0.8512381576843011,84.0,27.0,5.380935960591131,0.13522207144527135,31.0,21.0,6.699706155950753,0.12497949436385668,75.0,0.0,0.0,0.7940905948410961,48.0,2.0,0.0,0.4979716900452303,61.0,45.0,0.0,0.4118398093169636,1,-1,-1,-28.68
7,5.5,-1.14,27.0,100.0,0.0,-0.6792924954650497,63.0,100.0,0.0,0.4314144201762548,15.0,95.0,0.0,0.9719909689382756,38.0,55.0,0.0,-0.053249629403453125,43.0,91.0,0.0,0.05409617231139386,77.0,52.0,0.0,-0.10851979580500523,1,1,1,4.14
7,-5.5,3.25,43.0,89.0,-4.242370820668695,-0.4739474358086566,30.0,53.0,0.0,0.6980962090184737,15.0,65.0,-6.264911468403379,0.15070643507391832,74.0,13.0,0.0,-0.06894896996431091,55.0,0.0,-3.0797074468085115,0.3658530249164942,73.0,78.0,0.0,-0.8710213386317149,-1,1,-1,-13.25
7,7.0,-7.47,33.0,37.0,0.8546901017576318,-0.20857598582939266,89.0,67.0,-0.3651085383502197,0.4509431391866325,22.0,91.0,0.0,-0.4743633379445372,93.0,25.0,0.0,0.33966735878768256,61.0,26.0,2.1951659083342587,0.1462908104653436,53.0,47.0,0.0,-0.8963897273160029,-1,-1,1,25.47
7,-5.5,3.52,40.0,43.0,8.393872660069157,0.6830385077837839,100.0,54.0,0.0,-0.4465109987158449,43.0,50.0,3.9307905604719733,0.5562138300167528,81.0,21.0,0.0,0.6379882573090033,47.0,50.0,0.0,-0.025477630364260373,38.0,26.0,0.0,-0.7521333018675368,-1,-1,1,18.48
7,3.0,-1.41,40.0,63.0,9.378350124296738,-0.3749627162196741,68.0,40.0,9.408159695817488,0.32700217464516496,51.0,100.0,0.0,0.9781817889297292,53.0,51.0,8.522087198515766,-0.5149524731291338,77.0,45.0,0.0,-0.5883293487864523,48.0,49.0,0.0,0.07152632981273133,1,1,1,15.41
7,-3.5,-0.29,10.0,30.0,7.076528497409332,0.4362475143938128,47.0,21.0,0.0,-0.053571741913473615,18.0,73.0,-5.05037572512272,0.383955361892756,22.0,3.0,0.0,0.36892600616032656,46.0,20.0,0.0,-0.023553256279163926,36.0,74.0,0.0,0.09699244427737727,-1,-1,1,7.29
7,3.0,1.08,0.0,47.0,0.0,0.3555978592552351,0.0,27.0,0.0,0.7506113008604436,27.0,58.0,-5.0187848681696625,0.2666176096965185,18.0,1.0,0.0,-0.026308793626379782,2.0,40.0,-3.6684500364697312,0.1844590155675936,100.0,60.0,0.0,0.6782274718090687,1,1,1,11.92
7,-6.0,8.03,88.0,79.0,0.0,0.0636161131473175,61.0,20.0,0.0,-0.008052083108830932,27.0,26.0,-8.967881885292446,-0.5469819440480289,63.0,13.0,0.0,0.3981854410302891,100.0,65.0,-6.85436865342164,0.7194416187747366,27.0,45.0,0.0,0.34582249967770184,1,-1,-1,-10.03
7,-3.0,-2.79,60.0,32.0,0.0,0.07342205858814654,53.0,40.0,8.906966658894845,0.4187455906853881,35.0,60.0,5.314722492697174,0.3115420190964572,89.0,100.0,0.0,0.4382033497404589,43.0,58.0,0.0,-0.3324151824029831,47.0,0.0,0.0,0.8673815731878391,-1,1,-1,-0.20999999999999996
7,-5.5,1.14,100.0,63.0,0.0,-0.5634376574057519,100.0,27.0,16.25494769412112,0.8705651002958609,55.0,38.0,11.961112079484053,0.8791203917383432,95.0,15.0,0.0,-0.2678587905087681,52.0,77.0,3.275561762880184,0.6716963491148951,91.0,43.0,0.0,-0.4577067769923524,-1,1,-1,-4.14
