Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
NYJ,2,2012,4.5,43.0,-17,-12.5,-1,0,0,0,PIT,100.0,82.0,58.0,63.0,22.0,50.0,100.0,8.0,49.0,12.0,0.0,100.0,58.0,0.0,66.0,64.0,1,0,0,0.0,31.0,0.0,40.0,31.0,35.0,60.0,55.0,55.0,42.0,8.0,45.0,79.0,11.0,38.0,52.0,76.0,28.0,40.0,50.0,40.0,0.0,35.0,55.0,42.0,45.0
OAK,2,2012,-2.0,41.0,-22,-24.0,-1,0,0,0,MIA,0.0,37.0,47.0,27.0,70.0,21.0,32.0,59.0,63.0,62.0,20.0,40.0,19.0,88.0,70.0,51.0,1,0,0,0.0,18.0,60.0,40.0,45.0,36.0,76.0,61.0,25.0,37.0,28.0,39.0,26.0,29.0,65.0,79.0,8.0,54.0,37.0,100.0,40.0,60.0,36.0,61.0,37.0,39.0
PHI,2,2012,-3.0,47.0,1,-2.0,-1,1,0,0,BAL,100.0,52.0,79.0,40.0,100.0,100.0,48.0,100.0,100.0,62.0,40.0,60.0,76.0,52.0,83.0,100.0,0,0,0,100.0,100.0,40.0,80.0,67.0,61.0,43.0,36.0,89.0,84.0,55.0,65.0,37.0,95.0,73.0,56.0,32.0,80.0,72.0,25.0,80.0,40.0,61.0,36.0,84.0,65.0
PIT,2,2012,-4.5,43.0,17,12.5,1,1,0,0,NYJ,0.0,31.0,79.0,11.0,38.0,52.0,76.0,28.0,40.0,50.0,40.0,0.0,35.0,55.0,42.0,45.0,0,0,0,100.0,82.0,100.0,0.0,37.0,58.0,0.0,0.0,88.0,66.0,54.0,64.0,58.0,63.0,22.0,50.0,100.0,8.0,49.0,12.0,0.0,100.0,58.0,0.0,66.0,64.0
SDG,2,2012,-6.0,43.5,28,22.0,1,1,0,0,TEN,100.0,63.0,53.0,30.0,73.0,79.0,41.0,68.0,37.0,38.0,60.0,80.0,12.0,81.0,49.0,30.0,0,0,0,0.0,16.0,60.0,20.0,7.0,5.0,43.0,18.0,58.0,65.0,17.0,50.0,42.0,27.0,44.0,57.0,36.0,38.0,28.0,75.0,20.0,60.0,5.0,18.0,65.0,50.0
SEA,2,2012,3.0,43.0,20,23.0,1,1,0,0,DAL,0.0,44.0,68.0,2.0,78.0,42.0,28.0,74.0,50.0,50.0,20.0,40.0,57.0,82.0,12.0,58.0,0,0,0,100.0,61.0,60.0,60.0,70.0,72.0,47.0,61.0,92.0,76.0,33.0,68.0,74.0,100.0,65.0,85.0,44.0,68.0,83.0,50.0,60.0,60.0,72.0,61.0,76.0,68.0
SFO,2,2012,-7.0,46.0,8,1.0,1,1,0,0,DET,100.0,63.0,68.0,62.0,57.0,43.0,12.0,45.0,61.0,38.0,60.0,20.0,95.0,81.0,34.0,29.0,0,0,0,100.0,56.0,80.0,80.0,57.0,39.0,67.0,64.0,48.0,100.0,26.0,74.0,47.0,70.0,76.0,25.0,52.0,68.0,86.0,88.0,80.0,80.0,39.0,64.0,100.0,74.0
STL,2,2012,3.5,42.5,3,6.5,1,1,0,0,WAS,0.0,44.0,53.0,24.0,30.0,75.0,32.0,48.0,14.0,12.0,20.0,20.0,36.0,61.0,26.0,0.0,0,0,0,100.0,63.0,60.0,40.0,41.0,77.0,64.0,88.0,100.0,83.0,51.0,9.0,100.0,72.0,50.0,63.0,20.0,95.0,71.0,12.0,40.0,60.0,77.0,88.0,83.0,9.0
TAM,2,2012,8.0,43.5,-7,1.0,1,0,0,0,NYG,100.0,60.0,89.0,15.0,36.0,30.0,36.0,92.0,41.0,25.0,60.0,60.0,65.0,100.0,7.0,23.0,1,0,0,0.0,39.0,40.0,40.0,53.0,39.0,30.0,28.0,67.0,32.0,8.0,24.0,26.0,35.0,0.0,15.0,32.0,56.0,17.0,50.0,40.0,40.0,39.0,28.0,32.0,24.0
TEN,2,2012,6.0,43.5,-28,-22.0,-1,0,0,0,SDG,0.0,16.0,42.0,27.0,44.0,57.0,36.0,38.0,28.0,75.0,20.0,60.0,5.0,18.0,65.0,50.0,1,0,0,100.0,63.0,80.0,60.0,12.0,12.0,78.0,81.0,72.0,49.0,34.0,30.0,53.0,30.0,73.0,79.0,41.0,68.0,37.0,38.0,60.0,80.0,12.0,81.0,49.0,30.0
