Team,Opponent,Year,Week,Home Team,Spread,Team DVOA,DVOA Diff,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Game Scoring Margin,Spread to Result Difference,Spread Result Class
STL,SEA,2006,6,1,3.0,15.1,20.3,6.23,9.23,22.0,46.0,-5.031733776387808,0.18394031472907102,63.0,42.0,-5.54896321070234,-0.12145350717543879,27.0,87.0,0.0,-0.9033205222307518,49.0,26.0,0.0,0.3822516825792689,65.0,47.0,0.0,0.9704412380016483,52.0,41.0,0.0,-0.974497282238622,1,1,-2,1.0,1
TAM,CIN,2006,6,1,5.0,-33.3,-43.2,-6.82,-1.8200000000000005,21.0,33.0,0.0,-0.9991048934045532,86.0,42.0,0.0,-0.6590766527342788,11.0,27.0,8.03743907311227,0.774442330219586,9.0,28.0,5.564857142857143,0.7520757713293116,46.0,60.0,0.0,-0.9468150099737559,82.0,48.0,5.12150537634409,-0.9808550499090996,-1,-1,1,6.0,1
TEN,WAS,2006,6,0,12.0,-62.3,-80.5,-16.6,-4.600000000000001,17.0,84.0,-7.573281430611267,0.5035219914144635,100.0,11.0,0.0,0.8258523257375228,23.0,74.0,-3.8303274087932557,0.8358431894461552,0.0,41.0,-2.302451721242658,0.7753394906888593,34.0,37.0,0.0,0.1503558995528271,59.0,46.0,-7.330802056555264,-0.7189804561766207,-1,-1,3,15.0,1
WAS,TEN,2006,6,1,-12.0,18.2,80.5,16.6,4.600000000000001,11.0,100.0,0.0,0.640784154675111,84.0,17.0,0.0,-0.03654566839918755,41.0,0.0,0.0,0.7416349897682473,74.0,23.0,0.0,0.7264654521170336,46.0,59.0,-15.054124916499674,0.7735670105994635,37.0,34.0,0.0,0.6285439934535564,1,-1,-3,-15.0,-1
ARI,OAK,2006,7,0,-3.0,-32.9,19.0,1.71,-1.29,27.0,0.0,0.0,-0.9186411720464303,47.0,0.0,0.0,-0.09063429292244696,1.0,18.0,0.0,-0.033361193316314486,58.0,27.0,5.0080999831109585,0.7952980686779403,60.0,100.0,11.699509366636924,-0.5869789885997678,40.0,2.0,-10.728672156459092,-0.8952662651729688,-1,1,-13,-16.0,-1
ATL,PIT,2006,7,1,3.0,9.8,11.0,4.39,7.39,40.0,53.0,5.1241569965870255,0.7463241794269044,32.0,60.0,0.0,0.8459635258733174,100.0,89.0,0.0,0.019197035162668366,60.0,35.0,-10.177789362078109,0.8739900984242708,0.0,47.0,0.0,0.5356958788833626,58.0,43.0,0.0,0.6450795583952385,1,1,3,6.0,1
BUF,NWE,2006,7,1,5.5,-10.1,-22.0,-2.34,3.16,54.0,100.0,-9.81053462830172,0.3826045692400754,43.0,40.0,-4.507817988291646,0.20190985303489303,21.0,81.0,-2.713943952444499,-0.3072590181521353,50.0,43.0,0.0,0.38026184372162963,26.0,38.0,0.0,0.07542181562203293,50.0,47.0,0.0,0.13417840543996962,1,-1,-22,-16.5,-1
CAR,CIN,2006,7,0,3.0,3.6,-4.6,-3.1,-0.10000000000000007,32.0,37.0,0.9353876369650602,-0.18412157437031132,74.0,40.0,2.1195813204508855,-0.9274600631806114,21.0,26.0,0.3649474922288498,-0.5203596836567811,52.0,18.0,0.0,-0.3440243505353139,53.0,57.0,0.0,-0.9425049898876118,52.0,55.0,0.0,0.5149236608775034,-1,0,-3,0.0,0
CIN,CAR,2006,7,1,-3.0,8.2,4.6,3.1,0.10000000000000007,40.0,74.0,-6.9421858190709,0.9660438817784566,37.0,32.0,0.0,-0.2165674669076492,18.0,52.0,-3.1265134837644473,0.31049386023690057,26.0,21.0,0.0,0.5906486954901269,55.0,52.0,0.0,-0.5467214376847268,57.0,53.0,0.0,0.93319134205054,1,0,3,0.0,0
CLE,DEN,2006,7,1,4.5,-21.0,-27.0,-3.38,1.12,33.0,89.0,4.265265942317541,-0.5501662117588667,42.0,27.0,-1.5542073170731716,-0.5356631377278549,5.0,65.0,3.2660024833832484,-0.8586711738933938,24.0,45.0,0.0,-0.352491281316313,41.0,59.0,0.0,-0.6054204934537545,59.0,17.0,1.628539264140583,0.3230401505483987,1,-1,-10,-5.5,-1
DAL,NYG,2006,7,1,-3.0,14.6,-3.200000000000001,1.53,-1.47,40.0,68.0,9.10149763305121,-0.3799147684394464,63.0,40.0,9.158944099378875,0.9762065247438939,51.0,53.0,5.315000000000001,0.7372244222305704,100.0,51.0,0.0,0.2655800673233586,49.0,48.0,11.376500888099468,-0.17741206826430622,45.0,77.0,2.655778661365133,0.9965562135795368,-1,1,-14,-17.0,-1
DEN,CLE,2006,7,0,-4.5,6.0,27.0,3.38,-1.12,27.0,42.0,3.8335611277120965,-0.9450268279836864,89.0,33.0,7.013600782778868,-0.9342967442304383,45.0,24.0,-0.5205009325872609,-0.9852594687584058,65.0,5.0,0.0,-0.2884427186597952,17.0,59.0,10.13989675516224,0.47107148444321134,59.0,41.0,0.0,-0.7355073991179722,-1,-1,10,5.5,1
DET,NYJ,2006,7,0,3.5,-21.6,5.699999999999998,-1.02,2.48,21.0,47.0,3.9845527480634413,0.8688094033613676,30.0,10.0,5.0481212437940925,0.6790646899032462,3.0,22.0,0.0,0.6172348408149366,73.0,18.0,0.0,-0.12860755024553291,74.0,36.0,0.0,-0.030798774542354197,20.0,46.0,0.10544135726579107,0.7217330677952891,1,-1,-7,-3.5,-1
GNB,MIA,2006,7,0,5.5,-20.6,2.299999999999997,-1.71,3.79,53.0,30.0,5.359406745225523,0.6055763722477673,89.0,43.0,1.2928324218431122,0.9161760839099927,13.0,74.0,0.0,-0.40036863550424795,65.0,15.0,0.0,0.8182552337939418,78.0,73.0,-1.6865358136809743,0.2622777701033989,0.0,55.0,0.0,0.5985151157761517,1,1,10,15.5,1
HOU,JAX,2006,7,1,8.0,-39.2,-67.2,-12.04,-4.039999999999999,27.0,84.0,-10.162388980716251,0.629976903079284,47.0,40.0,0.0,-0.24428167945408175,0.0,75.0,-7.593194728049006,0.11784657661496811,21.0,31.0,0.0,0.9429836621520908,45.0,61.0,0.0,-0.5247186961279762,2.0,48.0,0.0,-0.13336056732129128,-1,-1,20,28.0,1
IND,WAS,2006,7,1,-8.5,4.6,-2.7,1.63,-6.87,13.0,87.0,-3.016012540640972,0.5039602382955366,89.0,16.0,0.0,-0.6973628241472327,27.0,56.0,7.448012381883355,-0.7564764132317809,0.0,38.0,0.0,0.21603816874938384,75.0,38.0,0.8336466165413503,0.4115656884433433,83.0,46.0,0.0,-0.9031094096633772,-1,-1,14,5.5,1
JAX,HOU,2006,7,0,-8.0,28.0,67.2,12.04,4.039999999999999,40.0,47.0,0.0,0.8400092474699623,84.0,27.0,2.5894178235557543,0.15673974746064462,31.0,21.0,3.8430932968536267,0.10698246667009415,75.0,0.0,0.0,0.7704312978344188,48.0,2.0,0.0,0.548804145446,61.0,45.0,0.0,0.4517302846733108,1,-1,-20,-28.0,-1
