Team,Opponent,Year,Week,Home Team,Spread,Team DVOA,DVOA Diff,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Game Scoring Margin,Spread to Result Difference,Spread Result Class
GNB,ARI,2006,8,1,-4,-18.3,2.4,2.79,-1.21,67,48,3.395772192,-0.763748377,87,44,3.911831683,-0.796414412,21,55,-0.745100559,0.624879319,73,0,15.27807064,-0.877357662,69,45,2.349191125,-0.117167895,0,51,13.00310332,-0.792522781,32.02,1,17,13,1
HOU,TEN,2006,8,0,3,-35,0.3,-2.2,0.8,20,87,2.762594391,0.167875267,56,0,-9.683838411,0.265994443,7,0,-4.034720513,0.142428989,28,31,1.45596835,-0.431361101,41,62,0.632909414,0.249576527,30,24,18.96227081,-0.579879717,6.9,1,-6,-3,-1
IND,DEN,2006,8,0,3,14.1,1.8,-1.87,1.13,14,87,1.92431136,0.036062183,96,47,18.32597162,0.789000901,29,79,13.46163964,0.846295548,7,49,-0.506706629,-0.138059504,81,73,-4.842731128,-0.44231772,82,13,-18.33081081,0.809583278,7,1,3,6,1
JAX,PHI,2006,8,0,8,23,-8.1,-4.01,3.99,34,66,-1.418710452,-0.286691912,87,90,-11.05396913,-0.113669079,31,64,-0.543667797,0.075339663,70,38,11.0038,0.639443295,33,51,-1.791816626,0.152582403,65,100,-8.013456988,-0.101732189,0.23,1,7,15,1
KAN,SEA,2006,8,1,-5,5.5,-8,0.52,-4.48,40,35,-16.57811792,0.426425602,65,80,-1.044933555,-0.114337969,21,77,-3.473798942,-0.445042886,44,21,-0.269267724,0.132698617,39,44,4.233849321,-0.181144448,74,45,0.905281326,-0.311859834,-7.2,-1,7,2,1
MIN,NWE,2006,8,1,2.5,-5.1,-14.4,-0.9,1.6,47,87,2.919487103,-0.249680049,78,40,3.800824977,0.501271727,32,86,10.39811217,0.434545493,100,42,10.60639535,0.120868065,49,51,6.346687923,-0.131418218,56,38,5.074620996,0.172238259,9.24,1,-24,-21.5,-1
NOR,BAL,2006,8,1,-2,4,-11,-0.15,-2.15,67,74,3.074844151,-0.803177248,100,74,7.849891984,0.431711435,27,100,15.39878442,0.701808888,48,18,0.646348798,0.94815654,71,74,2.51628946,-0.245720723,68,28,6.318820412,-0.288189864,19.57,1,-13,-15,-1
NWE,MIN,2006,8,0,-2.5,9.3,14.4,0.9,-1.6,40,78,-4.408434148,-0.640731865,87,47,9.655016311,0.286437279,42,100,-7.811889284,-0.510807777,86,32,4.192818792,-0.707217922,38,56,9.356845953,-0.329502821,51,49,13.27485723,0.509527174,9.66,1,24,21.5,1
NYG,TAM,2006,8,1,-9.5,18.8,33.1,9.25,-0.25,67,78,12.81451695,0.469842778,69,14,14.47934794,-0.491608466,55,13,13.3459,-0.116481745,62,16,1.879608825,0.502900736,66,60,12.72665829,0.275726771,45,27,7.28358749,0.044510663,28.72,1,14,4.5,1
NYJ,CLE,2006,8,0,1.5,-23.3,-5.5,-3.46,-1.96,4,35,5.724254907,-0.536677934,51,34,-1.102020885,0.102990329,31,22,3.604071605,-0.242051938,24,1,9.294159928,-0.433873253,38,66,-2.657568262,-0.262664195,42,28,-5.665071861,0.310721002,1.95,1,-7,-5.5,-1
OAK,PIT,2006,8,1,9,-38,-55.5,-10.39,-1.39,7,52,1.424317712,-0.346931456,0,54,-1.333372396,-0.236214109,32,75,-1.206549233,-0.196957477,34,30,-1.946857143,-0.354630506,5,53,-0.039802808,-0.091737522,100,60,4.822695831,0.283020341,-9.78,-1,7,16,1
PHI,JAX,2006,8,1,-8,31.1,8.1,4.01,-3.99,90,87,-3.069058376,-0.312209502,66,34,-1.592008938,0.073799695,38,70,2.387765296,0.680993702,64,31,-1.092220573,-0.063414501,100,65,-5.877849943,-0.601017943,51,33,-3.174385264,0.172846425,0.41,-1,-7,-15,-1
PIT,OAK,2006,8,0,-9,17.5,55.5,10.39,1.39,54,0,-3.680659091,0.101692908,52,7,8.043272106,-0.201158293,30,34,10.39723436,-0.342792182,75,32,3.67063953,-0.280662194,60,100,11.666,0.281990343,53,5,1.240089385,0.018252935,19.54,1,-7,-16,-1
SDG,STL,2006,8,1,-9,39.1,33.3,9.29,0.29,100,43,-4.8168218,0.374092487,87,34,6.048607392,-0.704087294,52,46,5.533927807,-0.609546918,88,20,-6.308256659,0.905291863,51,49,9.490368978,-0.774800884,88,72,2.818684604,-0.048586667,16.9,1,14,5,1
SEA,KAN,2006,8,0,5,13.5,8,-0.51,4.49,80,65,-6.057552122,-0.715147065,35,40,-3.580172228,-0.229482806,21,44,10.07384032,-0.908093152,77,21,-7.154862001,0.180773775,45,74,-21.55552217,-0.776291408,44,39,-25.41447009,0.558943558,-28.75,-1,-7,-2,-1
SFO,CHI,2006,8,0,16.5,-26.1,-65.1,-15.61,0.89,34,91,-20.37719484,-0.664210025,69,74,-9.538016986,-0.373134496,32,96,-17.51289497,-0.32499744,48,20,-4.011610412,-0.120001134,43,82,-7.351243791,-0.158900157,33,59,-5.964463455,0.049149519,-40.34,-1,-31,-14.5,-1
STL,SDG,2006,8,0,9,5.8,-33.3,-9.29,-0.29,34,87,-5.065614833,-0.272895511,43,100,-0.957679834,0.211246994,20,88,3.417300242,0.746348635,46,52,-12.68707351,-0.704186104,72,88,-8.291605984,-0.324192957,49,51,-4.51673439,0.706965529,-23.14,-1,-14,-5,-1
TAM,NYG,2006,8,0,9.5,-14.3,-33.1,-9.25,0.25,14,69,2.8456639,0.301226073,78,67,4.402519372,0.741432181,16,62,1.697544521,-0.261019816,13,55,1.10356674,-0.627475148,27,45,0.244066852,0.400849953,60,66,4.223686017,0.964821847,0.18,1,-14,-4.5,-1
TEN,HOU,2006,8,1,-3,-35.3,-0.3,2.2,-0.8,0,56,-4.026382596,0.312127316,87,20,5.551839161,-0.677015005,31,28,10.85819064,-0.746965526,0,7,19.23976471,-0.643357592,24,30,5.351613454,-0.230659912,62,41,-7.775598497,0.313675191,23.99,1,6,3,1
ATL,DET,2006,9,0,5,1.7,21,2.37,7.37,44,43,10.81265011,-0.800170218,50,19,6.407820513,-0.352105085,100,54,0.486514888,-0.131109728,72,0,6.85554193,-0.547593583,20,29,14.13386473,-0.470693809,32,83,-6.671097773,-0.69047162,19.14,1,-16,-11,-1
BAL,CIN,2006,9,1,-3,14.9,5.8,3.52,0.52,69,50,1.863627593,-0.128717468,78,44,1.346655712,0.368660235,16,38,3.15333116,-0.233051176,100,13,2.403571866,-0.163448742,34,54,-7.076675434,0.701455478,56,65,3.809562476,0.373623233,1.84,-1,6,3,1
