Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
ATL,3,2017,-3.0,51.0,4,1.0,1,0,0,0,DET,100.0,68.0,44.0,73.0,65.0,53.0,72.0,49.0,78.0,42.0,56.0,73.0,49.0,56.0,68.0,52.0,1,0,0,100.0,79.0,82.0,44.0,25.0,56.0,64.0,80.0,78.0,41.0,70.0,54.0,72.0,35.0,74.0,76.0,79.0,58.0,73.0,33.0,44.0,82.0,56.0,80.0,41.0,54.0
BAL,3,2017,-3.0,38.0,-37,-40.0,-1,0,0,0,JAX,100.0,88.0,76.0,29.0,70.0,54.0,58.0,94.0,64.0,0.0,67.0,91.0,89.0,61.0,22.0,60.0,1,0,0,50.0,49.0,100.0,100.0,32.0,71.0,30.0,30.0,29.0,27.0,68.0,80.0,44.0,32.0,81.0,66.0,47.0,38.0,64.0,42.0,100.0,100.0,71.0,30.0,27.0,80.0
BUF,3,2017,3.5,40.0,10,13.5,1,1,0,0,DEN,50.0,51.0,24.0,29.0,97.0,50.0,58.0,58.0,87.0,50.0,56.0,73.0,73.0,77.0,25.0,74.0,0,0,0,100.0,81.0,64.0,11.0,39.0,100.0,66.0,81.0,69.0,37.0,57.0,64.0,80.0,35.0,87.0,61.0,100.0,96.0,100.0,67.0,11.0,64.0,100.0,81.0,37.0,64.0
CAR,3,2017,-5.0,46.5,-21,-26.0,-1,1,0,0,NOR,100.0,79.0,100.0,15.0,100.0,36.0,79.0,91.0,93.0,58.0,56.0,64.0,43.0,76.0,30.0,89.0,0,0,0,0.0,17.0,100.0,11.0,25.0,20.0,41.0,37.0,63.0,89.0,0.0,0.0,20.0,69.0,0.0,40.0,44.0,0.0,16.0,58.0,11.0,100.0,20.0,37.0,89.0,0.0
CHI,3,2017,7.0,43.5,6,13.0,1,1,0,0,PIT,0.0,14.0,32.0,33.0,52.0,50.0,69.0,21.0,50.0,83.0,22.0,73.0,22.0,57.0,54.0,48.0,0,0,0,100.0,71.0,91.0,78.0,0.0,18.0,58.0,67.0,61.0,59.0,64.0,79.0,60.0,37.0,96.0,66.0,34.0,78.0,94.0,50.0,78.0,91.0,18.0,67.0,59.0,79.0
CIN,3,2017,7.0,47.5,-3,4.0,1,0,0,0,GNB,0.0,19.0,20.0,18.0,84.0,37.0,28.0,64.0,61.0,100.0,22.0,45.0,28.0,14.0,31.0,100.0,1,0,0,50.0,44.0,55.0,44.0,14.0,21.0,19.0,42.0,48.0,81.0,49.0,74.0,88.0,40.0,53.0,81.0,83.0,64.0,93.0,75.0,44.0,55.0,21.0,42.0,81.0,74.0
CLE,3,2017,-1.0,42.0,-3,-4.0,-1,0,0,0,IND,0.0,27.0,36.0,32.0,64.0,23.0,9.0,56.0,64.0,83.0,11.0,27.0,24.0,60.0,56.0,57.0,1,0,0,0.0,0.0,45.0,33.0,1.0,24.0,74.0,68.0,7.0,28.0,40.0,28.0,40.0,14.0,44.0,54.0,28.0,55.0,12.0,75.0,33.0,45.0,24.0,68.0,28.0,28.0
DAL,3,2017,-3.0,46.5,11,8.0,1,0,0,0,ARI,50.0,37.0,48.0,31.0,71.0,56.0,52.0,27.0,74.0,50.0,33.0,91.0,33.0,48.0,60.0,66.0,1,0,0,50.0,37.0,73.0,33.0,5.0,14.0,67.0,64.0,21.0,76.0,50.0,53.0,28.0,42.0,79.0,18.0,58.0,29.0,77.0,83.0,33.0,73.0,14.0,64.0,76.0,53.0
DEN,3,2017,-3.5,40.0,-10,-13.5,-1,0,0,0,BUF,100.0,81.0,80.0,35.0,87.0,61.0,100.0,96.0,100.0,67.0,11.0,64.0,100.0,81.0,37.0,64.0,1,0,0,50.0,51.0,73.0,56.0,32.0,73.0,70.0,77.0,45.0,25.0,68.0,74.0,24.0,29.0,97.0,50.0,58.0,58.0,87.0,50.0,56.0,73.0,73.0,77.0,25.0,74.0
DET,3,2017,3.0,51.0,-4,-1.0,-1,1,0,0,ATL,100.0,79.0,72.0,35.0,74.0,76.0,79.0,58.0,73.0,33.0,44.0,82.0,56.0,80.0,41.0,54.0,0,0,0,100.0,68.0,73.0,56.0,36.0,49.0,13.0,56.0,75.0,68.0,49.0,52.0,44.0,73.0,65.0,53.0,72.0,49.0,78.0,42.0,56.0,73.0,49.0,56.0,68.0,52.0
